482,257,127,637,647,808,477,53,865,39,426,997,996,513,585,859,897,876
419,268,543,643,336,841,7,467,377,789,619,528,433,314,269,447,162,697
532,646,434,170,745,151,279,930,312,134,881,551,572,98,296,366,922,264
739,791,861,421,656,728,529,723,145,215,689,851,471,574,369,938,475,973
504,904,534,605,248,175,116,743,957,110,78,958,150,706,71,730,921,546
433,429,917,843,198,999,914,700,389,787,862,654,776,99,339,779,542,796
519,17,128,960,419,66,787,771,361,251,289,890,161,673,447,108,711,970
570,310,791,831,676,219,98,258,398,857,902,53,5,776,496,576,398,909
265,40,728,433,379,783,215,364,777,451,401,188,671,763,941,34,22,592
753,740,870,430,227,299,969,930,642,206,16,487,664,568,226,491,634,716
639,343,336,692,696,59,982,548,219,402,746,309,647,427,988,347,586,207
109,715,170,50,232,528,355,738,294,160,28,837,399,375,305,40,47,100
413,907,332,644,476,983,903,642,333,892,875,63,104,917,738,391,140,453
207,364,431,523,742,791,826,838,295,141,635,572,316,305,978,551,820,727
903,119,75,550,418,153,278,238,250,681,823,769,300,61,168,165,732,963
648,301,349,648,552,303,13,194,364,386,641,340,272,471,841,894,831,135
139,512,778,290,287,98,654,932,243,541,391,50,843,402,678,494,296,277
148,846,729,204,902,367,685,398,159,666,535,257,869,278,593,183,593,17
790,254,676,508,959,83,392,498,371,975,527,750,947,986,713,537,800,678
770,829,526,235,793,850,281,441,158,722,613,644,138,732,402,793,639,469
100,88,891,453,768,314,427,165,185,656,76,165,151,123,697,156,219,770
395,574,210,290,949,665,77,899,827,50,225,567,478,375,221,204,262,314
154,705,880,661,1,598,479,470,783,589,423,164,646,31,731,516,436,461
257,138,652,821,479,89,362,309,928,757,504,423,373,878,635,486,852,367
977,71,647,553,859,351,301,844,851,536,80,188,833,469,311,351,11,571
244,132,592,112,626,936,604,999,560,958,534,141,38,14,513,777,159,602
716,719,646,732,762,898,91,407,362,225,263,349,285,337,555,219,10,467
285,599,930,279,202,575,720,255,440,26,29,922,614,887,711,903,792,759
954,970,776,587,157,47,238,130,573,907,548,625,123,167,49,263,656,410
730,658,467,983,334,965,888,864,691,29,303,315,214,896,959,532,264,424
708,372,533,864,197,161,291,525,102,61,431,132,463,122,230,597,734,917
211,288,678,492,547,364,985,367,55,637,227,354,738,764,921,585,113,4
885,27,324,23,371,917,999,568,962,744,702,587,761,876,879,431,78,683
115,765,405,775,827,964,723,112,319,22,940,486,324,165,929,500,658,516
